"Date 	series 	OPEN 	HIGH 	LOW 	PREV. CLOSE 	ltp 	CLOSE	vwap 	52W H 	52W L 	VOLUME 	VALUE 	No of trades ",,,
"31-Dec-20	EQ	636.55	653.5	636.55	640.45	642.55	643.65	645.14	653.5	250.85	17713012	""11",427,411,"341.05""	168389"
"30-Dec-20	EQ	632.95	643.95	624.05	632.2	641.05	640.45	633.27	649.45	250.85	11514428	""7",291,736,"643.40""	104168"
"29-Dec-20	EQ	637.85	639.65	621.05	632.65	630.6	632.2	629.6	649.45	250.85	10416326	""6",558,122,"778.40""	117972"
"28-Dec-20	EQ	628.25	635.35	626.6	622.3	634	632.65	631.53	649.45	250.85	10480517	""6",618,711,"447.95""	108035"
"24-Dec-20	EQ	625.3	636.95	619.25	621.4	623	622.3	626.77	649.45	250.85	12090740	""7",578,159,"934.40""	109825"
"23-Dec-20	EQ	599	624.2	596.3	601.35	621.8	621.4	609.75	649.45	250.85	12238343	""7",462,308,"885.90""	125788"
"22-Dec-20	EQ	596	610.45	585	595.85	599.3	601.35	597.8	649.45	250.85	18846879	""11",266,604,"876.10""	191562"
"21-Dec-20	EQ	624	627.7	585.6	631.25	590.35	595.85	608.65	649.45	250.85	19076654	""11",610,936,"188.35""	194780"
"18-Dec-20	EQ	638.25	640.85	628	635.3	629.8	631.25	633.17	649.45	250.85	25351506	""16",51,691,"583.90""	155690"
"17-Dec-20	EQ	643.4	646	631.45	643.4	634.25	635.3	640.52	649.45	250.85	7965186	""5",101,865,"547.95""	86183"
"16-Dec-20	EQ	641.2	649.45	638.2	635.35	642.2	643.4	643.66	649.45	250.85	16040256	""10",324,422,"415.30""	145903"
"15-Dec-20	EQ	623.45	637.1	617.35	626.75	636	635.35	626.35	638.9	250.85	13226312	""8",284,281,"425.40""	154016"
"14-Dec-20	EQ	626.75	638.9	625.3	621.7	627.7	626.75	631.73	638.9	250.85	17722715	""11",195,951,"655.25""	185063"
