Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,CLOSE,VOLUME ,VALUE ,No of trades 
12/31/20,636.55,653.5,636.55,640.45,643.65,17713012,"11,427,411,341.05",168389
12/30/20,632.95,643.95,624.05,632.2,640.45,11514428,"7,291,736,643.40",104168
12/29/20,637.85,639.65,621.05,632.65,632.2,10416326,"6,558,122,778.40",117972
12/28/20,628.25,635.35,626.6,622.3,632.65,10480517,"6,618,711,447.95",108035
12/24/20,625.3,636.95,619.25,621.4,622.3,12090740,"7,578,159,934.40",109825
12/23/20,599,624.2,596.3,601.35,621.4,12238343,"7,462,308,885.90",125788
12/22/20,596,610.45,585,595.85,601.35,18846879,"11,266,604,876.10",191562
12/21/20,624,627.7,585.6,631.25,595.85,19076654,"11,610,936,188.35",194780
12/18/20,638.25,640.85,628,635.3,631.25,25351506,"16,051,691,583.90",155690
12/17/20,643.4,646,631.45,643.4,635.3,7965186,"5,101,865,547.95",86183
12/16/20,641.2,649.45,638.2,635.35,643.4,16040256,"10,324,422,415.30",145903
12/15/20,623.45,637.1,617.35,626.75,635.35,13226312,"8,284,281,425.40",154016
12/14/20,626.75,638.9,625.3,621.7,626.75,17722715,"11,195,951,655.25",185063
12/11/20,614.9,625.45,614.25,610.1,621.7,16395698,"10,177,073,836.20",172643
12/10/20,606,614,593.5,609.35,610.1,19829328,"11,967,589,060.65",187226
12/09/20,618,620.7,607.1,613.45,609.35,12730731,"7,796,931,150.95",125558
12/08/20,616,621.45,602.45,614.55,613.45,17015853,"10,416,360,254.60",190865
12/07/20,623.6,629,609.45,622.7,614.55,15588321,"9,647,130,590.15",165903
12/04/20,624,632.5,614.6,620.9,622.7,20153552,"12,590,042,591.05",184757
12/03/20,609,624.75,608,604.35,620.9,24775652,"15,348,475,402.15",293733
12/02/20,585.7,607.6,584.05,585.8,604.35,24997085,"14,993,731,974.05",244452
12/01/20,592,592,576.95,577.35,585.8,14739109,"8,605,778,187.80",147447
11/27/20,570,582.35,563.05,568.4,577.35,46291248,"26,644,015,159.60",258773
11/26/20,546,571.1,541.25,541.25,568.4,22570185,"12,551,386,537.60",218684
11/25/20,551,558.65,539.5,548.3,541.25,17680989,"9,704,772,513.85",181457
11/24/20,547.95,550.45,541.4,543.1,548.3,13029126,"7,119,980,105.95",143396
11/23/20,538,546,536.35,532.9,543.1,17025425,"9,220,894,854.40",170796
11/20/20,526,541.7,521,523.6,532.9,26686000,"14,177,101,608.70",241777
11/19/20,511.85,535.7,510,517.2,523.6,20137998,"10,623,016,368.55",200609
11/18/20,518,523.8,510.65,522.7,517.2,17481513,"9,042,950,976.10",222088
11/17/20,506,530.95,501.7,492.2,522.7,64284599,"33,601,552,639.95",492271
11/14/20,496.55,499.5,487,486.55,492.2,7837400,"3,872,837,298.60",76087
11/13/20,470.85,488.4,465,473.15,486.55,23418187,"11,184,286,956.65",180793
11/12/20,472,479.9,466.3,473.95,473.15,23493685,"11,105,176,938.75",189033
11/11/20,441.9,477.35,439.6,441.9,473.95,36861833,"16,934,613,115.70",276197
11/10/20,440,453.25,435.55,438.3,441.9,26200240,"11,634,695,847.85",211052
11/09/20,433,439.9,427.4,426.5,438.3,15830862,"6,865,693,537.55",141372
11/06/20,424.5,432.9,422.65,425.5,426.5,17398193,"7,442,146,779.15",138035
11/05/20,412,428.25,409.15,403.9,425.5,26517756,"11,153,242,908.80",211323
11/04/20,408.9,415.05,401.4,406.9,403.9,13614366,"5,530,844,611.70",103672
11/03/20,407.5,412.2,404.45,402.85,406.9,12258034,"5,005,194,482.40",129787
11/02/20,410,412.5,398.7,410.55,402.85,13143109,"5,323,709,071.95",108945
10/30/20,402.7,412.9,395.2,401.4,410.55,18021051,"7,299,282,164.45",129717
10/29/20,399.45,405,395.3,402.3,401.4,13860410,"5,549,745,454.80",123358
10/28/20,411.45,418.2,400.45,411,402.3,16965755,"6,949,604,948.10",162673
10/27/20,408.7,416.85,403.4,408.4,411,16062171,"6,610,131,340.50",157903
10/26/20,423.35,423.35,404.15,423.45,408.4,16608780,"6,833,121,273.95",142661
10/23/20,413,426,412.2,409.65,423.45,28588850,"12,020,971,391.80",226121
10/22/20,401.9,413.55,400.1,404.05,409.65,20888422,"8,514,814,448.85",170558
10/21/20,396.3,408,394.35,392.4,404.05,26351958,"10,602,868,352.70",220168
10/20/20,392,397.35,389.6,395.5,392.4,10949682,"4,302,317,084.25",153428
10/19/20,397.6,400,391.8,393.85,395.5,14729994,"5,833,572,799.60",131575
10/16/20,377.1,395.9,375.2,373.9,393.85,28855527,"11,168,334,051.60",271674
10/15/20,381,388.6,371.5,375.55,373.9,31651023,"12,071,043,573.35",294260
10/14/20,370.4,377.25,369.55,368.35,375.55,14892188,"5,548,163,172.55",111570
10/13/20,372,376.25,366.65,371.1,368.35,11902564,"4,418,168,481.20",93381
10/12/20,373.5,377.15,362.5,369.5,371.1,15756861,"5,810,087,663.00",105362
10/09/20,376.05,386.95,367.05,373.65,369.5,22006588,"8,320,493,766.20",168875
10/08/20,374.45,383,371.7,371.1,373.65,14111169,"5,328,566,375.00",114821
10/07/20,376,379.3,370,377.4,371.1,9694124,"3,621,105,229.05",83798
10/06/20,386.8,387.25,373.1,382.3,377.4,14286376,"5,409,262,832.75",118589
10/05/20,370.1,385.5,369.5,364.95,382.3,19590635,"7,459,114,268.60",192923
10/01/20,364.3,370.3,363.15,359.75,364.95,9555123,"3,504,988,684.65",96966
09/30/20,371.05,371.5,358,370.05,359.75,12963784,"4,706,611,719.60",103277
09/29/20,365,371.8,361.7,361,370.05,17891719,"6,566,484,009.10",140938
09/28/20,359.95,364.95,355.65,352.1,361,12270478,"4,421,797,957.70",127299
09/25/20,348,355.6,344.2,343.9,352.1,12242576,"4,292,027,166.20",101968
09/24/20,356.8,357.25,342.75,361.3,343.9,12495840,"4,359,329,729.70",128666
